Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
1004306,16-02-2020 16:07,3.55258E+15,fraud_Lubowitz-Walter,kids_pets,83.34,Jonathan,Castro,M,200 Christie Mills Apt. 307,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,13-04-1965,94be7fc5ab3a2699db7577e9b90e49f3,1361030856,35.038561,-84.357828,0
176052,01-04-2019 21:34,4.90468E+15,"fraud_Schneider, Hayes and Nikolaus",food_dining,8.88,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,19-10-1990,82352e9fc19013e48728a7aabedb4150,1333316075,42.586794,-74.513685,0
1111868,07-04-2020 11:08,4.11976E+15,fraud_Pacocha-Bauch,shopping_pos,385.82,Melinda,Gutierrez,F,1497 West Gateway,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,19-08-1945,4a0c152f9cf19ca2b1de38e1e5a8aa7a,1365332895,41.431078,-89.664887,0
103135,01-03-2019 12:00,6.01111E+15,fraud_McKenzie-Huels,food_dining,108.41,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,08-02-1983,ce7b31ab786a9234a942cc66347e8113,1330603257,34.775805,-77.923432,0
1019937,25-02-2020 08:45,6.01189E+15,fraud_Hintz-Bruen,grocery_net,47.3,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,31-07-1975,cf03f7e589b4efeab1ffe00318c69b83,1361781954,38.671656,-105.52704,0
822595,09-12-2019 04:26,3.01031E+13,"fraud_Turner, Ruecker and Parisian",misc_pos,76.12,Stephanie,Middleton,F,99736 Rose Shoals Apt. 504,Morrisdale,PA,16858,41.0001,-78.2357,3688,Dispensing optician,26-10-1987,11d430e6c221b8b756b4ff9fa52ddc86,1355027163,41.752122,-77.979272,0
21185,13-01-2019 18:53,5.61943E+11,fraud_Cartwright PLC,kids_pets,12.04,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,14-03-1986,e54d9e9254eed5a6b431069f55fdc9a3,1326480824,38.333961,-77.693038,0
11812,07-01-2019 21:29,4.26E+12,"fraud_Hahn, Bahringer and McLaughlin",personal_care,17.11,Julie,Johnson,F,9331 Robert Passage Suite 327,Hudson,KS,67545,38.1485,-98.6408,215,Probation officer,22-11-1968,ce1520514e6edd93484f3940932d6139,1325971782,38.575289,-99.394162,0
568198,30-08-2019 01:18,3.85443E+13,"fraud_Morissette, Weber and Wiegand",grocery_net,52.44,Veronica,Burton,F,08932 Bonnie Stravenue,Bonita Springs,FL,34135,26.3771,-81.7334,51427,Claims inspector/assessor,21-08-1991,5d0bcfe6c9b22ae7cba422f789767431,1346289484,26.283166,-81.522225,0
1248132,03-06-2020 17:51,3.59924E+15,"fraud_Witting, Beer and Ernser",home,73.73,Jessica,Smith,F,06808 Ryan Valleys,Dubre,KY,42731,36.8421,-85.5396,341,Insurance risk surveyor,19-11-1932,f88578cd504cc8e70504dcd47ae03299,1370281879,35.995531,-86.179885,0
1149331,24-04-2020 09:58,3.57554E+15,fraud_Cummerata-Jones,gas_transport,62.38,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,22-06-2001,2c0f7a605618ed310bbbc9a3d6cf29a2,1366797510,34.116352,-89.314567,0
582852,04-09-2019 01:20,5.84674E+11,fraud_Sawayn PLC,shopping_pos,81.19,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,58531,47.5196,-101.2332,307,Make,13-08-1930,d63331821241497d67c25ea999307234,1346721600,48.274798,-101.543285,0
372551,21-06-2019 18:54,1.80043E+14,fraud_Roberts-Beahan,misc_pos,107.12,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",28-02-1989,f9531426f01933f214746912894243b3,1340304841,28.754952,-81.830796,0
326278,04-06-2019 17:46,4.46978E+18,fraud_Lynch-Wisozk,home,74.82,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22-11-1980,011bac6b60e8471d09b70063f7004234,1338831974,42.280119,-70.502278,0
502094,05-08-2019 21:11,4.38491E+15,fraud_Adams-Barrows,health_fitness,23.23,Michelle,Russell,F,55505 Christy Via,Hawley,MN,56549,46.9777,-96.4092,4508,Naval architect,24-04-1949,b718f158653d06cec18cf84ad0d048a4,1344201064,47.842576,-95.684061,0
563202,27-08-2019 18:03,3.54002E+15,fraud_Champlin and Sons,home,79,Lawrence,Frost,M,82448 Tucker Cliff,Kittery Point,ME,3905,43.0976,-70.7121,1780,Broadcast engineer,21-01-1983,0ae6018847c0b08be276c9e5af1e24ec,1346090604,42.500248,-71.392281,0
870456,20-12-2019 09:37,3.51237E+15,fraud_Collier Inc,grocery_net,33.37,Francisco,Kemp,M,9554 Flores Drive,Arnold,MO,63010,38.4305,-90.387,35439,Land/geomatics surveyor,31-03-1985,451685068a793cd6699d7d31bcee0853,1355996229,38.747601,-89.616501,0
1178228,06-05-2020 19:51,3.70877E+14,fraud_Medhurst PLC,shopping_net,2.47,Sarah,Clark,F,25961 Beverly Union Apt. 042,North Wilkesboro,NC,28659,36.2017,-81.1286,21134,Dispensing optician,06-03-1984,033c439bc00fceb4be465c3777b3ac47,1367869900,35.237658,-81.791606,0
334602,08-06-2019 08:31,3.00304E+13,fraud_Kuhic Inc,grocery_pos,96.78,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",17-11-1993,3c711d2033071c6bf9a263783594880b,1339144307,30.539673,-98.991462,0
376312,22-06-2019 22:56,4.746E+12,"fraud_Wintheiser, Dietrich and Schimmel",misc_pos,187.64,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",07-10-1998,3f47fa24a6ad9c099c8e400fa148343c,1340405784,40.858906,-86.290942,0
736223,10-11-2019 19:02,6.59789E+15,"fraud_Welch, Rath and Koepp",entertainment,40.43,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,23-08-1964,1df399fc906c28ce282ff3e4d96b0dd1,1352574154,33.851307,-99.167717,0
715480,02-11-2019 02:39,4.02561E+15,fraud_Kuvalis Ltd,gas_transport,66.72,Krystal,Key,F,23142 Montoya Island Apt. 742,Corsica,PA,15829,41.1762,-79.1976,1274,Maintenance engineer,20-03-1949,c6dce198e2815d1023a83850fc685ffd,1351823994,41.521241,-78.61434,0
567500,29-08-2019 18:56,4.42516E+15,"fraud_Lowe, Dietrich and Erdman",kids_pets,76.72,Brooke,Fisher,F,815 Heather Divide Apt. 965,San Angelo,TX,76905,31.4647,-100.39,103927,Drilling engineer,27-06-1962,0614bdb2dfaac747f4085e235ea56826,1346266610,30.755576,-99.613646,0
194437,10-04-2019 11:10,4.06998E+15,fraud_Bednar Group,misc_net,15.49,Kimberly,Martin,F,1943 Dennis Inlet Suite 145,Hurricane,WV,25526,38.4257,-81.9943,21902,Sub,18-09-1980,cb616bf91023630413fc99324349c7aa,1334056250,39.287378,-81.007131,0
590464,07-09-2019 21:41,6.01149E+15,"fraud_Roob, Conn and Tremblay",shopping_pos,4.33,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,11-06-1986,f11c3c4d89b33e92e11482249d415e7e,1347054104,33.434625,-93.004845,0
427266,10-07-2019 21:32,2.28374E+15,"fraud_Effertz, Welch and Schowalter",entertainment,10.95,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,27-12-1997,5ad779762725083876de0ee499b7df38,1341955951,34.855041,-83.913096,0
1071527,21-03-2020 09:34,6.76174E+11,fraud_Buckridge PLC,misc_pos,27.04,Brittany,Cox,F,07177 William Dale Apt. 547,Santa Monica,CA,90403,34.0287,-118.4924,92043,"Civil engineer, contracting",25-04-1961,4377278ec3e36775fe09cbeb70de96af,1363858480,33.510786,-117.786656,0
186364,07-04-2019 03:26,2.13142E+14,fraud_Kris-Weimann,misc_net,3.04,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,24-12-1984,af3daba270b5a506ae37ebeddb1f44c0,1333769184,32.264126,-89.460761,0
31106,19-01-2019 15:48,4.99811E+15,fraud_Harris Group,food_dining,63.55,Mary,Pruitt,F,2819 Luke Greens Suite 563,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,18-11-1987,15ecbc4672b08418a5fb5d12d2f7cb62,1326988136,39.159426,-93.626224,0
432718,13-07-2019 04:21,3.51487E+15,fraud_Kuvalis Ltd,gas_transport,58.17,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,30-08-1967,a0f7c0284bc83dcacaae2de47a936f0d,1342153312,33.571935,-105.815954,0
